#,Title,Artist
1,Dawasak Ewi (Duet Version),"Piyath Rajapakse, Raini Charuka"
2,Perum Puragena,Senanayaka Weraliyadda
3,Wassanayata,Umara
4,Ananthayata,"Kasun Kalhara, Indrachapa Liyanage"
5,Sanasennam Ma,Senaka Batagoda
6,Nelum Male Pethi,Chandimal Fernando
7,Mee Wadayaki(Live),Chandana Fernando
8,Sith Sith Sith,"Rookantha Goonatillake, Raini Charuka"
9,Kirilli Ran Kirilli - Desmond de Silva - (Live Cover by Infinity) - Sundown Sessions I,
10,Suraliyaka wage,Somasiri Fernando
11,Diganthaye,Rookantha Goonatillake
12,Sithin Sina Sisi,"Windy Goonatillake, Raini Charuka"
13,Horahin balanne,"Surenie De Mel, Bingu"
14,Hiruge Lowedi,Clarence Wijewardena
15,Gayu Gee,Mariyasel Goonathilake
16,Chanchala Dase,"Raini Charuka, Raj Thillaiyampalam"
17,Sandapana Wage,Rookantha Goonatillake
18,Pathu Pem Pathum,"Bathiya and Santhush, Bathiya Jayakody, Umaria Sinhawansa"
19,Kurumitto,The Gypsies
20,Alavanthiyak,Ashanthi & Eranga & Rndir
21,Unmada Prema Geeya,"Bathiya and Santhush, Yohani, Kaizer Kaiz"
22,Neela Kadukate,"Raini Charuka, Gayya"
23,Chandrayan Pidu,daddy
24,Piyumehi Panibothi (පියුමෙහි පැණි බොති) - Taxi Christmas Mix EP 03,
25,නියරේ පියනගලා... | Niyare Piyanagala | NP Creationlk,
26,Mal Osariya,Dushan Jayathilake
27,Issara Adi Kaale,Keerthi Pasquel
28,Kimada Sumihiriye(Unplugged Version),2forty2
29,Manali,"Yuki Navaratne, Ravi Jay"
30,Hitha hiri wetunado,"Chathurangana De Silva, Ashanthi, Bachi Susan"
31,Ananthayata Yanawamai,Senaka Batagoda
32,Sihina Lowe | සිහින ලොවේ මිහිර මැවූ | Nalin Perera | Peter Rosario | Baila Sadya | @RooTunes,
33,Ba Ba Mata Enna Ba | බෑ බෑ මට එන්න බෑ | Jacqualine Hettiarachchi | Dinu Sanjuna | Baila Sadya,The Fleas
34,Mango Kalu Nande(Radio Version),Annesley Malewana
35,Api Kawruda,Senaka Batagoda
36,Channa Kinnaravi,Bachi Susan
37,Yowun Sihina Loke,2forty2
38,Ran Rasa Wage,Saman De Silva
39,Awadi Wanna | අවදි වන්න අවදි වන්න  | Peter Rosario | Ranjith Atigala | Baila Sadaya | @RooTunes,Awadi
40,Rasa Pirunu Katha,Shayami Fonseka
41,Dunhinda Manamali,Annesley Malewana
42,Udarata Niliya,Annesley Malewana
43,Adare Soya,Dushan Jayathilake
44,Mame Ape Kalu Mame,Annesley Malewana
45,Senakeliye,Indrani Perera
46,Asurin Mideela,Priya Suriyasena
47,Nilwan Muhudu Theere(Cover Version),Hector Dias
48,Nelum Male,Mariazelle Goonetilleke
49,Wessanthara Raja Putha - Ra Ahase Live in Concert 2017,
50,Kakiri Palena,Chandimal Fernando
51,Dompe Aya,Saman De Silva
52,Amathaka Karannepa,The Gypsies
53,Rahasai Sonduru Jeeve,Mariazelle Goonetilleke
54,Sinhala All time Hits Medley,Sarith and Surith
55,Tikki Tikiri Tikkiri Sina,"Dalreen, Ronnie Leitch, Rajiv Sebastian, Desmond De Silva"
56,Ratakin Eha,Priya Suriyasena
57,Kandy Lamissi,Mariazelle Goonetilleke
58,Sudu Asu Pita,Indrani Perera
