#,Title,Artist
1,Manali,"Windy Goonatillake, SANUKA"
2,Kaandam Daasa,"Chinthy, Raini Charuka"
3,Galana Ganga,"Charitha Attalage, Ravi Jay"
4,Tharumini (feat. Raini),Chinthy
5,Sokare,Chinthy
6,Ayyo Saami,"Windy Goonatillake, SANUKA"
7,Sudu Gawuma,La Signore
8,Naaree,Chinthy
9,Lelena,"Nilan Hettiarachchi, Chamath Sangeeth, Dulan ARX, Naveen Perera"
10,Seedevi,"Piyath Rajapakse, Lahiru De Costa"
11,Massina,daddy
12,Ill Mahe Kurullo,"Nisala Kavinda, Yuki Navaratne, AKIIY"
13,Nil Daasin,Surenie De Mel
14,Adare (Redfox Remix),"Mariazelle Goonetilleke, Piyal Perera, Tilan GT, Pasan Liyanage"
15,Komaliya,Prageeth Perera
