#,Title,Artist
1,Nadee Ganga(Unplugged),Chitral Chity Somapala
2,Jothi Medley by Infinity | Tribute to H.R Jothipala 2022,
3,Suwandai Mal Suwanda Se (සුවඳයි මල් සුවඳ සේ) -  Kasun Kalhara and Sashika Nisansala,
4,Dampata Handawe (දම්පාට හැන්දෑවේ) Sachin | Rakitha | Eranga | Official Music Video | Sinhala Sindu,
5,Hithumathe | හිතුමතේ | Romesh Sugathapala | IRAJ | Official Music Video | Ma Desa Neth Nopiya Balapu,
6,Oba Hinda Ba Mata Me Tharam |  ඔබ හින්දා බෑ මට මේ තරම් | Iraj & Samitha  | Official Music Video,
7,Yayata Payana | Prihan | Natasha | Iraj | යායට පායනා | Official Music Video,
8,Nisansale,
9,Sanasenna Nalawenna | සැනසෙන්න නැලවෙන්න සුදෝ | Athul Adhikari,
10,Labendiye,La Signore
11,B&S Mashup Cover | උන්මාදනී හැන්ගුණා | The News | Coke RED | @RooTunes,
12,Sililara Sitha Nayana(2FORTY2 Remake Lounge),"Senanga Dissanayake, 2forty2, CeyMusic"
13,"Daffodil Mala"" | ඩැෆඩිල් මල | Harshana Dissanayake | Live Cover | Naada Yaththra""",
14,Salalihiniyo  (සැළලිහිණියෝ නුඹ දන්නෙ නැ )  | Hector Dias | Cover | #hectordias #dmajor  #srilanka,
15,"Hector Dias , DMAJOR, ..Old is Gold!!..Like this one!!!",
16,Sithin Ma Nosali - Billy Fernando live in Concert 2012,
17,Gum Nade (ගුම් නාදේ) - Rosa Kale Movie -  Santhush ft. Umariya - Official Music Video,
18,Tharu Mal Wage (තරුමල් වගේ) LIVE - Rookantha & Chandralekha,
19,Maage Mathake (මාගෙ මතකේ) Cover by D MAJOR with Hector Dias,
20,2FORTY2 - මී අඹ වනයේ | Feat. Billy Fernando | Original Song - C T Fernando |,
21,Ranidu-Hinahenne Mung (Nil Nayaniye) Official Music video,
22,Pehesara Obe Adare (පැහැසර ඔබෙ ආදරේ)  - Centigradz - Asai Man Piyabanna OST - Official Video Song,
23,Ambili mame | අම්බිලි මාමේ | Nalin Perera | Baila Sadaya | @RooTunes,
24,Sihina Ahase Wasanthe (සිහින අහසේ වසන්තේ) Cover By Hector Dias With D MAJOR #wedding  #events,
25,Sudu Paravi Rena Se - Priya Sooriyasena Acoustic Version,
26,Oba Gawa Cover By D MAJOR  with  Hector Dias,
27,"Chandimal Fernando Kimada Sumihiriye Live Cover"" @ CT Show 2015""",
28,නෙක උයන් | ප්‍රදීපා ධර්මදාස සහ අමරසිරි පීරිස් | Neka Uyan Wathu | Pradeepa Dharmadasa & Amarasiri,
29,Olu Nelum Neriya Rangala | ඕලු නෙලුම් නෙරිය රඟාලා | Dewmini Fernando & Kawya Sathsarani,
30,ඔබ නිදන්න - Oba nidanna ( Cover ) | @ChitralChitySomapalaMusic  at Untitled - Live,
31,Baila Nonstop @ Tone Poem with Sunil Perera,
32,Hada wiman Dorin (හද විමන් දොරින්) Cover by Hector Dias with D MAJOR,
33,Clarence Medley (NEW) - D MAJOR with Hector Dias,Tangerine
34,Tribute To Milton Mallawarachchi | Cover from D Major,
35,Master Sir - Neela Wickramasinghe @ Dell Studio Season 03 ( 29-01-2016 ) Episode 01,Neela Wikramasinghe
36,DMAJOR Live in Concert I Medley I,Demi Lovato
37,Jeewithe Tharuna Kale,"Billy Fernando, 2forty2"
38,"Chandrame Ra Paya Aawa  - Billy Fernando, Devashrie De Silva - COVER",
39,Sinhala All time Hits Medley Vol2 - News අධිමාත්‍රා,
40,Rookantha Medley - PYRAMIDZ Dance Mix - Thoiley - තොයිලේ,The Pinpeat Orchestra
41,Anil Bharathi Medley I අනිල් බාරති ගීත එකතුව | DMAJOR live in concert I #dmajor #hectordias,Anil Bharathi
42,Ganga Addara I Hector Dias I DMajor Live in concert,
43,Bambara Nade | බඹර නාදේ | Bachi Susan | Kanchana Anuradhi | Coke RED | @RooTunes,
