#,Title,Artist
1,Mottu,La Signore
2,Ahankara Nagare (Iraj's Punjabi Mix),"Ranidu, Iraj"
3,Ran Van Mal Dam,Centigradz
4,Sara Sadisi,"Samitha Mudunkotuwa, Kevin Almeda, Athula adikari, Kasun Kalhara, Roshan Fernando"
5,Mata aloke genadevi,"Ranidu, BK, Krishan, Iraj"
6,Sithin Prema Wadana - Gassena Paddena Lassana Loke - (Mashup Cover by Infinity) - Sundown Sessions I,
7,සඳලතා| SANDALATHA| Medley Cover by MISTER Band,
8,Kasthuri Suwandaki,"Bathiya and Santhush, Santhush Weeraman, Ashanthi, Umara"
9,කිමද සුමිහිරියේ Medley |Cover by MISTER Band |Originally done by C T Fernando,
10,Salli,"Sarith and Surith, K V N"
11,Adare Hithenawa Dakkama,"Billy Fernando, 2forty2, Devashrie De Silva"
12,Clarence Baila Medley (2FORTY2),"2forty2, Billy Fernando"
13,Sinhala All time Hits Medley Vol2 - News අධිමාත්‍රා,
14,Dynamics Dance Medley - VOL 1 (Ratakin Eha |  Nilwan Muhudu | Piyamanne),
15,Baila Gamuda Remix Karala,Bathiya & Santhush
16,Rambari,La Signore
17,Gypsies & Marians Medley,Sarith and Surith
