#,Title,Artist
1,Jothi Medley by Infinity | Tribute to H.R Jothipala 2022,
2,Sinhala Disco Medley Live at O Fans Festival 2020 | News,
3,Hot Stuff Baila Mix Medley,
4,2FORTY2 DISCO MEDLEY | Lassana Lokaye | Gayu Gee | Api Kauruda | Ananthayata Yanawamai |,
5,News Sinhala Reggae Medley - News අධිමාත්‍රා,
6,Jaya Sri Medley at Y Unplugged Studio | News,
7,Sri Lankan 2000's Hits Medley - News අධිමාත්‍රා,
8,DYNAMICS Reggae Medley - Rangahala | Sundariye | Ran Ran Ran ft. Lose Yourself | Siri Sangabodhi,
9,Taxi Party Mix - Reggae| Pop| Baila Medley,Windy City
10,Nelum Vilen Pena (නෙළුම් විලෙන් පැන) -|Dushyanth Weeraman| RE-MIX | DJ SHAN-L | 2021 |,
11,Sinhala Punjabi Medley Vol2 - News අධිමාත්‍රා,
12,Old is Gold Mashup Vol_03 (Dj Evo Ft. Dexter)_ @Mr. Pravish,
13,Fast Baila | @originbandslofficial  | Highway Baila #srilanka ,Ozuna
14,gypsies dance nonstop ever(Sunil perera with gypsies + Aura Band,
15,REDEEMERS | Memory Lane බයිලා |  MiX non stop | thank you12 months/ 20k subscribe,Tha Realest
16,Gypsies & Marians Medley - News අධිමාත්‍රා,Nancy Sinatra
17,Baila (බයිල​) Medley by Knights,
18,Dynamics Dance Medley - VOL 1 (Ratakin Eha |  Nilwan Muhudu | Piyamanne),
19,රම්පොට baila medley by Magnify,
20,Gypsies Baila Medley (ජිප්සීස් බයිලා) - Origin Band Cover,Pequeguay
21,Infinity,Infinity
22,Tribute to Sunil Perera (Gypsies) from Infinity,
23,#Hector Dias #D Major # Desmond De Silva #Mariazelle #Baila To Rock your Week,Sereno
24,M. S. Fernando Medley | The News | Coke RED | @RooTunes,
25,Ingi_Marana_Tharu_Rena_K.Sujeewa_Sarigama_lk.mp3,www.sarigama.lk
26,Gypsies - Punsanda Paya (පුන්සඳ පායා) Medley,
27,Stage Hits Medley - News Live at SLT Fusion Youth Night,
28,Baila (බයිලා) Medley 2 | Live HOT CHOCOLATE Jungle Party,
29,Polkatu Baila Medley,Pequeguay
